{'loss': '1.069', 'grad_norm': '25.38', 'learning_rate': '0', 'epoch': '1.932e-05'}
{'loss': '2.36', 'grad_norm': '44.75', 'learning_rate': '6.667e-07', 'epoch': '3.864e-05'}
{'loss': '2.62', 'grad_norm': '72', 'learning_rate': '1.333e-06', 'epoch': '5.796e-05'}
{'loss': '1.891', 'grad_norm': '34.75', 'learning_rate': '2e-06', 'epoch': '7.728e-05'}
{'loss': '1.726', 'grad_norm': '75', 'learning_rate': '2.667e-06', 'epoch': '9.66e-05'}
{'loss': '1.331', 'grad_norm': '30.62', 'learning_rate': '3.333e-06', 'epoch': '0.0001159'}
{'loss': '2.034', 'grad_norm': '32.25', 'learning_rate': '4e-06', 'epoch': '0.0001352'}
{'loss': '1.396', 'grad_norm': '41.25', 'learning_rate': '4.667e-06', 'epoch': '0.0001546'}
{'loss': '1.959', 'grad_norm': '32.75', 'learning_rate': '5.333e-06', 'epoch': '0.0001739'}
{'loss': '1.79', 'grad_norm': '98', 'learning_rate': '6e-06', 'epoch': '0.0001932'}
{'loss': '2.619', 'grad_norm': '44.25', 'learning_rate': '6.667e-06', 'epoch': '0.0002125'}
{'loss': '1.581', 'grad_norm': '25.38', 'learning_rate': '7.333e-06', 'epoch': '0.0002318'}
{'loss': '1.948', 'grad_norm': '44.25', 'learning_rate': '8e-06', 'epoch': '0.0002512'}
{'loss': '2.588', 'grad_norm': '94.5', 'learning_rate': '8.667e-06', 'epoch': '0.0002705'}
{'loss': '2.004', 'grad_norm': '29.75', 'learning_rate': '9.333e-06', 'epoch': '0.0002898'}
{'loss': '2.833', 'grad_norm': '50', 'learning_rate': '1e-05', 'epoch': '0.0003091'}
{'loss': '1.873', 'grad_norm': '33.25', 'learning_rate': '1.067e-05', 'epoch': '0.0003284'}
{'loss': '2.17', 'grad_norm': '41.5', 'learning_rate': '1.133e-05', 'epoch': '0.0003478'}
{'loss': '2.07', 'grad_norm': '24.5', 'learning_rate': '1.2e-05', 'epoch': '0.0003671'}
{'loss': '2.535', 'grad_norm': '105', 'learning_rate': '1.267e-05', 'epoch': '0.0003864'}
{'loss': '2.147', 'grad_norm': '36.25', 'learning_rate': '1.333e-05', 'epoch': '0.0004057'}
{'loss': '2.439', 'grad_norm': '38', 'learning_rate': '1.4e-05', 'epoch': '0.000425'}
{'loss': '1.92', 'grad_norm': '31.62', 'learning_rate': '1.467e-05', 'epoch': '0.0004444'}
{'loss': '2.162', 'grad_norm': '51.25', 'learning_rate': '1.533e-05', 'epoch': '0.0004637'}
{'loss': '5.12', 'grad_norm': '241', 'learning_rate': '1.6e-05', 'epoch': '0.000483'}
{'loss': '1.713', 'grad_norm': '47.75', 'learning_rate': '1.667e-05', 'epoch': '0.0005023'}
{'loss': '1.814', 'grad_norm': '33.75', 'learning_rate': '1.733e-05', 'epoch': '0.0005216'}
{'loss': '1.905', 'grad_norm': '158', 'learning_rate': '1.8e-05', 'epoch': '0.000541'}
{'loss': '1.188', 'grad_norm': '97', 'learning_rate': '1.867e-05', 'epoch': '0.0005603'}
{'loss': '0.6189', 'grad_norm': '78.5', 'learning_rate': '1.933e-05', 'epoch': '0.0005796'}
{'loss': '1.597', 'grad_norm': '102.5', 'learning_rate': '2e-05', 'epoch': '0.0005989'}
{'loss': '1.116', 'grad_norm': '28.25', 'learning_rate': '2e-05', 'epoch': '0.0006182'}
{'loss': '1.386', 'grad_norm': '131', 'learning_rate': '2e-05', 'epoch': '0.0006376'}
{'loss': '1.411', 'grad_norm': '25.62', 'learning_rate': '2e-05', 'epoch': '0.0006569'}
{'loss': '0.4654', 'grad_norm': '23.5', 'learning_rate': '2e-05', 'epoch': '0.0006762'}
{'loss': '1.101', 'grad_norm': '19.5', 'learning_rate': '2e-05', 'epoch': '0.0006955'}
{'loss': '1.843', 'grad_norm': '30.38', 'learning_rate': '2e-05', 'epoch': '0.0007148'}
{'loss': '1.576', 'grad_norm': '34.75', 'learning_rate': '2e-05', 'epoch': '0.0007342'}
{'loss': '1.139', 'grad_norm': '22.88', 'learning_rate': '2e-05', 'epoch': '0.0007535'}
{'loss': '1.375', 'grad_norm': '47.75', 'learning_rate': '2e-05', 'epoch': '0.0007728'}
{'loss': '0.4142', 'grad_norm': '75', 'learning_rate': '1.999e-05', 'epoch': '0.0007921'}
{'loss': '2.022', 'grad_norm': '214', 'learning_rate': '1.999e-05', 'epoch': '0.0008114'}
{'loss': '1.667', 'grad_norm': '20', 'learning_rate': '1.999e-05', 'epoch': '0.0008308'}
{'loss': '1.462', 'grad_norm': '41.5', 'learning_rate': '1.999e-05', 'epoch': '0.0008501'}
