step=1/1000 loss=1.5380 lr=0.00000067 steps_per_sec=3.27
step=2/1000 loss=2.3370 lr=0.00000133 steps_per_sec=5.02
step=3/1000 loss=1.9626 lr=0.00000200 steps_per_sec=6.13
step=4/1000 loss=2.2291 lr=0.00000267 steps_per_sec=6.89
step=5/1000 loss=4.7742 lr=0.00000333 steps_per_sec=7.36
step=6/1000 loss=1.3410 lr=0.00000400 steps_per_sec=7.78
step=7/1000 loss=2.4809 lr=0.00000467 steps_per_sec=8.12
step=8/1000 loss=2.2252 lr=0.00000533 steps_per_sec=8.38
step=9/1000 loss=2.8172 lr=0.00000600 steps_per_sec=8.59
step=10/1000 loss=1.7988 lr=0.00000667 steps_per_sec=8.79
step=11/1000 loss=1.1217 lr=0.00000733 steps_per_sec=8.90
step=12/1000 loss=1.8136 lr=0.00000800 steps_per_sec=9.04
step=13/1000 loss=1.6051 lr=0.00000867 steps_per_sec=9.18
step=14/1000 loss=1.8317 lr=0.00000933 steps_per_sec=9.29
step=15/1000 loss=2.2537 lr=0.00001000 steps_per_sec=9.39
step=16/1000 loss=1.4437 lr=0.00001067 steps_per_sec=9.47
step=17/1000 loss=1.1415 lr=0.00001133 steps_per_sec=9.55
step=18/1000 loss=1.4966 lr=0.00001200 steps_per_sec=9.62
step=19/1000 loss=4.0103 lr=0.00001267 steps_per_sec=9.68
step=20/1000 loss=3.0248 lr=0.00001333 steps_per_sec=4.70
step=21/1000 loss=5.1430 lr=0.00001400 steps_per_sec=4.83
step=22/1000 loss=1.3204 lr=0.00001467 steps_per_sec=4.88
step=23/1000 loss=1.1330 lr=0.00001533 steps_per_sec=5.00
step=24/1000 loss=1.3765 lr=0.00001600 steps_per_sec=5.11
step=25/1000 loss=1.6670 lr=0.00001667 steps_per_sec=5.21
step=26/1000 loss=1.1085 lr=0.00001733 steps_per_sec=5.32
step=27/1000 loss=1.0191 lr=0.00001800 steps_per_sec=5.42
step=28/1000 loss=2.0759 lr=0.00001867 steps_per_sec=5.53
step=29/1000 loss=1.7873 lr=0.00001933 steps_per_sec=5.62
step=30/1000 loss=1.1552 lr=0.00002000 steps_per_sec=5.72
step=31/1000 loss=1.0739 lr=0.00002000 steps_per_sec=5.81
step=32/1000 loss=1.3101 lr=0.00002000 steps_per_sec=5.89
step=33/1000 loss=0.4152 lr=0.00002000 steps_per_sec=5.98
step=34/1000 loss=1.3110 lr=0.00002000 steps_per_sec=6.06
step=35/1000 loss=1.7383 lr=0.00002000 steps_per_sec=6.14
step=36/1000 loss=2.4565 lr=0.00002000 steps_per_sec=6.22
step=37/1000 loss=0.9470 lr=0.00002000 steps_per_sec=6.29
step=38/1000 loss=1.7795 lr=0.00002000 steps_per_sec=6.36
step=39/1000 loss=6.1872 lr=0.00002000 steps_per_sec=6.43
step=40/1000 loss=1.3111 lr=0.00001999 steps_per_sec=4.80
step=41/1000 loss=1.6335 lr=0.00001999 steps_per_sec=4.86
step=42/1000 loss=1.0227 lr=0.00001999 steps_per_sec=4.93
step=43/1000 loss=1.2807 lr=0.00001999 steps_per_sec=4.99
step=44/1000 loss=0.6514 lr=0.00001999 steps_per_sec=5.02
step=45/1000 loss=0.3608 lr=0.00001999 steps_per_sec=5.08
step=46/1000 loss=0.9418 lr=0.00001999 steps_per_sec=5.14
step=47/1000 loss=3.1917 lr=0.00001998 steps_per_sec=5.20
step=48/1000 loss=2.0235 lr=0.00001998 steps_per_sec=5.26
step=49/1000 loss=1.2805 lr=0.00001998 steps_per_sec=5.31
step=50/1000 loss=1.4271 lr=0.00001998 steps_per_sec=5.37
step=51/1000 loss=1.1563 lr=0.00001998 steps_per_sec=5.42
