Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
[transformers] `torch_dtype` is deprecated! Use `dtype` instead!
Loading weights:   0%|          | 0/311 [00:00<?, ?it/s]Loading weights: 100%|██████████| 311/311 [00:00<00:00, 15003.78it/s]
step=10/207 loss=1.4374 lr=0.00001999 steps_per_sec=3.03
step=20/207 loss=1.4674 lr=0.00001979 steps_per_sec=3.24
step=30/207 loss=1.5656 lr=0.00001935 steps_per_sec=3.28
step=40/207 loss=2.2530 lr=0.00001869 steps_per_sec=3.39
step=50/207 loss=1.7908 lr=0.00001780 steps_per_sec=3.01
step=60/207 loss=1.4980 lr=0.00001673 steps_per_sec=3.08
step=70/207 loss=0.7886 lr=0.00001549 steps_per_sec=3.20
step=80/207 loss=1.5520 lr=0.00001412 steps_per_sec=3.30
step=90/207 loss=0.9316 lr=0.00001264 steps_per_sec=3.37
step=100/207 loss=2.0145 lr=0.00001110 steps_per_sec=3.31
step=110/207 loss=1.4137 lr=0.00000953 steps_per_sec=3.36
step=120/207 loss=1.4447 lr=0.00000797 steps_per_sec=3.42
step=130/207 loss=1.8599 lr=0.00000647 steps_per_sec=3.46
step=140/207 loss=1.1763 lr=0.00000505 steps_per_sec=3.51
step=150/207 loss=1.6445 lr=0.00000375 steps_per_sec=3.47
step=160/207 loss=1.3558 lr=0.00000260 steps_per_sec=3.48
step=170/207 loss=1.1217 lr=0.00000164 steps_per_sec=3.51
step=180/207 loss=1.7191 lr=0.00000089 steps_per_sec=3.55
step=190/207 loss=1.6574 lr=0.00000035 steps_per_sec=3.59
step=200/207 loss=1.4324 lr=0.00000006 steps_per_sec=3.54
train_runtime_sec=58.00
train_steps_per_sec=3.57
