Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
[transformers] `torch_dtype` is deprecated! Use `dtype` instead!
Loading weights:   0%|          | 0/311 [00:00<?, ?it/s]Loading weights: 100%|██████████| 311/311 [00:00<00:00, 14633.81it/s]
step=10/207 loss=1.4386 lr=0.00001999 steps_per_sec=2.77
step=20/207 loss=1.4692 lr=0.00001979 steps_per_sec=3.13
step=30/207 loss=1.5634 lr=0.00001935 steps_per_sec=3.24
step=40/207 loss=2.2485 lr=0.00001869 steps_per_sec=3.30
step=50/207 loss=1.7928 lr=0.00001780 steps_per_sec=2.95
step=60/207 loss=1.4997 lr=0.00001673 steps_per_sec=3.06
step=70/207 loss=0.7891 lr=0.00001549 steps_per_sec=3.19
step=80/207 loss=1.5538 lr=0.00001412 steps_per_sec=3.25
step=90/207 loss=0.9299 lr=0.00001264 steps_per_sec=3.37
step=100/207 loss=2.0178 lr=0.00001110 steps_per_sec=3.45
step=110/207 loss=1.4146 lr=0.00000953 steps_per_sec=3.50
step=120/207 loss=1.4420 lr=0.00000797 steps_per_sec=3.50
step=130/207 loss=1.8620 lr=0.00000647 steps_per_sec=3.55
step=140/207 loss=1.1785 lr=0.00000505 steps_per_sec=3.57
step=150/207 loss=1.6464 lr=0.00000375 steps_per_sec=3.61
step=160/207 loss=1.3478 lr=0.00000260 steps_per_sec=3.58
step=170/207 loss=1.1209 lr=0.00000164 steps_per_sec=3.63
step=180/207 loss=1.7180 lr=0.00000089 steps_per_sec=3.66
step=190/207 loss=1.6584 lr=0.00000035 steps_per_sec=3.70
step=200/207 loss=1.4325 lr=0.00000006 steps_per_sec=3.71
train_runtime_sec=55.32
train_steps_per_sec=3.74
