Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
[transformers] `torch_dtype` is deprecated! Use `dtype` instead!
Loading weights:   0%|          | 0/311 [00:00<?, ?it/s]Loading weights: 100%|██████████| 311/311 [00:00<00:00, 14754.31it/s]
step=10/207 loss=1.4381 lr=0.00001999 steps_per_sec=2.75
step=20/207 loss=1.4666 lr=0.00001979 steps_per_sec=3.15
step=30/207 loss=1.5652 lr=0.00001935 steps_per_sec=3.26
step=40/207 loss=2.2486 lr=0.00001869 steps_per_sec=3.38
step=50/207 loss=1.7926 lr=0.00001780 steps_per_sec=3.15
step=60/207 loss=1.4989 lr=0.00001673 steps_per_sec=3.04
step=70/207 loss=0.7894 lr=0.00001549 steps_per_sec=3.16
step=80/207 loss=1.5514 lr=0.00001412 steps_per_sec=3.22
step=90/207 loss=0.9344 lr=0.00001264 steps_per_sec=3.34
step=100/207 loss=2.0170 lr=0.00001110 steps_per_sec=3.42
step=110/207 loss=1.4159 lr=0.00000953 steps_per_sec=3.42
step=120/207 loss=1.4420 lr=0.00000797 steps_per_sec=3.45
step=130/207 loss=1.8600 lr=0.00000647 steps_per_sec=3.53
step=140/207 loss=1.1782 lr=0.00000505 steps_per_sec=3.58
step=150/207 loss=1.6550 lr=0.00000375 steps_per_sec=3.63
step=160/207 loss=1.3496 lr=0.00000260 steps_per_sec=3.61
step=170/207 loss=1.1205 lr=0.00000164 steps_per_sec=3.64
step=180/207 loss=1.7191 lr=0.00000089 steps_per_sec=3.68
step=190/207 loss=1.6543 lr=0.00000035 steps_per_sec=3.72
step=200/207 loss=1.4319 lr=0.00000006 steps_per_sec=3.73
train_runtime_sec=55.51
train_steps_per_sec=3.73
