Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
[transformers] `torch_dtype` is deprecated! Use `dtype` instead!
Loading weights:   0%|          | 0/311 [00:00<?, ?it/s]Loading weights: 100%|██████████| 311/311 [00:00<00:00, 14262.28it/s]
step=10/207 loss=1.4390 lr=0.00001999 steps_per_sec=2.67
step=20/207 loss=1.4663 lr=0.00001979 steps_per_sec=3.06
step=30/207 loss=1.5637 lr=0.00001935 steps_per_sec=3.21
step=40/207 loss=2.2465 lr=0.00001869 steps_per_sec=3.28
step=50/207 loss=1.7926 lr=0.00001780 steps_per_sec=3.09
step=60/207 loss=1.4983 lr=0.00001673 steps_per_sec=2.99
step=70/207 loss=0.7889 lr=0.00001549 steps_per_sec=3.08
step=80/207 loss=1.5536 lr=0.00001412 steps_per_sec=3.17
step=90/207 loss=0.9282 lr=0.00001264 steps_per_sec=3.29
step=100/207 loss=2.0161 lr=0.00001110 steps_per_sec=3.38
step=110/207 loss=1.4142 lr=0.00000953 steps_per_sec=3.34
step=120/207 loss=1.4422 lr=0.00000797 steps_per_sec=3.38
step=130/207 loss=1.8601 lr=0.00000647 steps_per_sec=3.46
step=140/207 loss=1.1777 lr=0.00000505 steps_per_sec=3.51
step=150/207 loss=1.6438 lr=0.00000375 steps_per_sec=3.56
step=160/207 loss=1.3576 lr=0.00000260 steps_per_sec=3.54
step=170/207 loss=1.1199 lr=0.00000164 steps_per_sec=3.58
step=180/207 loss=1.7203 lr=0.00000089 steps_per_sec=3.61
step=190/207 loss=1.6553 lr=0.00000035 steps_per_sec=3.64
step=200/207 loss=1.4320 lr=0.00000006 steps_per_sec=3.65
train_runtime_sec=56.64
train_steps_per_sec=3.65
