Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
[transformers] `torch_dtype` is deprecated! Use `dtype` instead!
Loading weights:   0%|          | 0/311 [00:00<?, ?it/s]Loading weights: 100%|██████████| 311/311 [00:00<00:00, 14296.67it/s]
step=10/207 loss=1.4376 lr=0.00001999 steps_per_sec=3.00
step=20/207 loss=1.4655 lr=0.00001979 steps_per_sec=3.24
step=30/207 loss=1.5647 lr=0.00001935 steps_per_sec=3.19
step=40/207 loss=2.2492 lr=0.00001869 steps_per_sec=3.30
step=50/207 loss=1.7914 lr=0.00001780 steps_per_sec=2.96
step=60/207 loss=1.5009 lr=0.00001673 steps_per_sec=2.93
step=70/207 loss=0.7898 lr=0.00001549 steps_per_sec=3.06
step=80/207 loss=1.5581 lr=0.00001412 steps_per_sec=3.17
step=90/207 loss=0.9338 lr=0.00001264 steps_per_sec=3.29
step=100/207 loss=2.0171 lr=0.00001110 steps_per_sec=3.24
step=110/207 loss=1.4146 lr=0.00000953 steps_per_sec=3.28
step=120/207 loss=1.4444 lr=0.00000797 steps_per_sec=3.34
step=130/207 loss=1.8625 lr=0.00000647 steps_per_sec=3.39
step=140/207 loss=1.1798 lr=0.00000505 steps_per_sec=3.42
step=150/207 loss=1.6407 lr=0.00000375 steps_per_sec=3.39
step=160/207 loss=1.3499 lr=0.00000260 steps_per_sec=3.41
step=170/207 loss=1.1201 lr=0.00000164 steps_per_sec=3.44
step=180/207 loss=1.7188 lr=0.00000089 steps_per_sec=3.48
step=190/207 loss=1.6564 lr=0.00000035 steps_per_sec=3.52
step=200/207 loss=1.4327 lr=0.00000006 steps_per_sec=3.48
train_runtime_sec=58.97
train_steps_per_sec=3.51
