Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
[transformers] `torch_dtype` is deprecated! Use `dtype` instead!
Loading weights:   0%|          | 0/311 [00:00<?, ?it/s]Loading weights: 100%|██████████| 311/311 [00:00<00:00, 14368.33it/s]
step=10/207 loss=1.4380 lr=0.00001999 steps_per_sec=3.08
step=20/207 loss=1.4663 lr=0.00001979 steps_per_sec=3.12
step=30/207 loss=1.5631 lr=0.00001935 steps_per_sec=3.25
step=40/207 loss=2.2455 lr=0.00001869 steps_per_sec=3.35
step=50/207 loss=1.7902 lr=0.00001780 steps_per_sec=2.99
step=60/207 loss=1.5001 lr=0.00001673 steps_per_sec=3.05
step=70/207 loss=0.7882 lr=0.00001549 steps_per_sec=3.16
step=80/207 loss=1.5539 lr=0.00001412 steps_per_sec=3.23
step=90/207 loss=0.9354 lr=0.00001264 steps_per_sec=3.32
step=100/207 loss=2.0149 lr=0.00001110 steps_per_sec=3.41
step=110/207 loss=1.4147 lr=0.00000953 steps_per_sec=3.46
step=120/207 loss=1.4430 lr=0.00000797 steps_per_sec=3.52
step=130/207 loss=1.8604 lr=0.00000647 steps_per_sec=3.55
step=140/207 loss=1.1770 lr=0.00000505 steps_per_sec=3.60
step=150/207 loss=1.6543 lr=0.00000375 steps_per_sec=3.63
step=160/207 loss=1.3549 lr=0.00000260 steps_per_sec=3.66
step=170/207 loss=1.1198 lr=0.00000164 steps_per_sec=3.69
step=180/207 loss=1.7181 lr=0.00000089 steps_per_sec=3.72
step=190/207 loss=1.6557 lr=0.00000035 steps_per_sec=3.75
step=200/207 loss=1.4337 lr=0.00000006 steps_per_sec=3.77
train_runtime_sec=54.65
train_steps_per_sec=3.79
