Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
[transformers] `torch_dtype` is deprecated! Use `dtype` instead!
Loading weights:   0%|          | 0/311 [00:00<?, ?it/s]Loading weights: 100%|██████████| 311/311 [00:00<00:00, 14062.86it/s]
step=10/207 loss=1.4399 lr=0.00001999 steps_per_sec=3.01
step=20/207 loss=1.4674 lr=0.00001979 steps_per_sec=3.25
step=30/207 loss=1.5639 lr=0.00001935 steps_per_sec=3.19
step=40/207 loss=2.2511 lr=0.00001869 steps_per_sec=3.29
step=50/207 loss=1.7935 lr=0.00001780 steps_per_sec=2.73
step=60/207 loss=1.5023 lr=0.00001673 steps_per_sec=2.71
step=70/207 loss=0.7891 lr=0.00001549 steps_per_sec=2.71
step=80/207 loss=1.5487 lr=0.00001412 steps_per_sec=2.72
step=90/207 loss=0.9322 lr=0.00001264 steps_per_sec=2.81
step=100/207 loss=2.0128 lr=0.00001110 steps_per_sec=2.61
step=110/207 loss=1.4153 lr=0.00000953 steps_per_sec=2.62
step=120/207 loss=1.4434 lr=0.00000797 steps_per_sec=2.65
step=130/207 loss=1.8625 lr=0.00000647 steps_per_sec=2.71
step=140/207 loss=1.1801 lr=0.00000505 steps_per_sec=2.75
step=150/207 loss=1.6484 lr=0.00000375 steps_per_sec=2.62
step=160/207 loss=1.3521 lr=0.00000260 steps_per_sec=2.65
step=170/207 loss=1.1202 lr=0.00000164 steps_per_sec=2.70
step=180/207 loss=1.7164 lr=0.00000089 steps_per_sec=2.73
step=190/207 loss=1.6549 lr=0.00000035 steps_per_sec=2.77
step=200/207 loss=1.4340 lr=0.00000006 steps_per_sec=2.67
train_runtime_sec=76.23
train_steps_per_sec=2.72
