Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
[transformers] `torch_dtype` is deprecated! Use `dtype` instead!
Loading weights:   0%|          | 0/311 [00:00<?, ?it/s]Loading weights: 100%|██████████| 311/311 [00:00<00:00, 13494.18it/s]
step=10/207 loss=1.4387 lr=0.00001999 steps_per_sec=2.53
step=20/207 loss=1.4673 lr=0.00001979 steps_per_sec=2.86
step=30/207 loss=1.5617 lr=0.00001935 steps_per_sec=3.00
step=40/207 loss=2.2514 lr=0.00001869 steps_per_sec=3.05
step=50/207 loss=1.7915 lr=0.00001780 steps_per_sec=2.97
step=60/207 loss=1.4992 lr=0.00001673 steps_per_sec=2.84
step=70/207 loss=0.7901 lr=0.00001549 steps_per_sec=2.93
step=80/207 loss=1.5553 lr=0.00001412 steps_per_sec=3.04
step=90/207 loss=0.9314 lr=0.00001264 steps_per_sec=3.17
step=100/207 loss=2.0178 lr=0.00001110 steps_per_sec=3.26
step=110/207 loss=1.4179 lr=0.00000953 steps_per_sec=3.21
step=120/207 loss=1.4429 lr=0.00000797 steps_per_sec=3.26
step=130/207 loss=1.8594 lr=0.00000647 steps_per_sec=3.34
step=140/207 loss=1.1782 lr=0.00000505 steps_per_sec=3.41
step=150/207 loss=1.6530 lr=0.00000375 steps_per_sec=3.44
step=160/207 loss=1.3500 lr=0.00000260 steps_per_sec=3.40
step=170/207 loss=1.1192 lr=0.00000164 steps_per_sec=3.45
step=180/207 loss=1.7176 lr=0.00000089 steps_per_sec=3.49
step=190/207 loss=1.6567 lr=0.00000035 steps_per_sec=3.51
step=200/207 loss=1.4349 lr=0.00000006 steps_per_sec=3.54
train_runtime_sec=58.79
train_steps_per_sec=3.52
