Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
[transformers] `torch_dtype` is deprecated! Use `dtype` instead!
Loading weights:   0%|          | 0/399 [00:00<?, ?it/s]Loading weights: 100%|██████████| 399/399 [00:00<00:00, 14180.51it/s]
step=10/207 loss=1.1043 lr=0.00001999 steps_per_sec=1.98
step=20/207 loss=1.0131 lr=0.00001979 steps_per_sec=2.14
step=30/207 loss=0.9277 lr=0.00001935 steps_per_sec=2.16
step=40/207 loss=0.8958 lr=0.00001869 steps_per_sec=2.19
step=50/207 loss=0.7888 lr=0.00001780 steps_per_sec=0.89
step=60/207 loss=1.2072 lr=0.00001673 steps_per_sec=1.00
step=70/207 loss=0.9866 lr=0.00001549 steps_per_sec=1.09
step=80/207 loss=1.3522 lr=0.00001412 steps_per_sec=1.17
step=90/207 loss=0.9623 lr=0.00001264 steps_per_sec=1.24
step=100/207 loss=0.9113 lr=0.00001110 steps_per_sec=0.70
step=110/207 loss=1.2988 lr=0.00000953 steps_per_sec=0.75
step=120/207 loss=1.3412 lr=0.00000797 steps_per_sec=0.80
step=130/207 loss=1.0418 lr=0.00000647 steps_per_sec=0.84
step=140/207 loss=0.8103 lr=0.00000505 steps_per_sec=0.88
step=150/207 loss=1.1308 lr=0.00000375 steps_per_sec=0.67
step=160/207 loss=0.6895 lr=0.00000260 steps_per_sec=0.70
step=170/207 loss=0.9622 lr=0.00000164 steps_per_sec=0.73
step=180/207 loss=0.9073 lr=0.00000089 steps_per_sec=0.76
step=190/207 loss=0.9240 lr=0.00000035 steps_per_sec=0.79
step=200/207 loss=0.2875 lr=0.00000006 steps_per_sec=0.65
train_runtime_sec=308.54
train_steps_per_sec=0.67
