Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
[transformers] `torch_dtype` is deprecated! Use `dtype` instead!
Loading weights:   0%|          | 0/399 [00:00<?, ?it/s]Loading weights: 100%|██████████| 399/399 [00:00<00:00, 15284.61it/s]
step=10/207 loss=1.1033 lr=0.00001999 steps_per_sec=2.01
step=20/207 loss=1.0127 lr=0.00001979 steps_per_sec=2.13
step=30/207 loss=0.9263 lr=0.00001935 steps_per_sec=2.18
step=40/207 loss=0.8952 lr=0.00001869 steps_per_sec=2.21
step=50/207 loss=0.7907 lr=0.00001780 steps_per_sec=0.91
step=60/207 loss=1.2093 lr=0.00001673 steps_per_sec=0.99
step=70/207 loss=0.9864 lr=0.00001549 steps_per_sec=1.07
step=80/207 loss=1.3487 lr=0.00001412 steps_per_sec=1.14
step=90/207 loss=0.9600 lr=0.00001264 steps_per_sec=1.20
step=100/207 loss=0.9121 lr=0.00001110 steps_per_sec=0.87
step=110/207 loss=1.2998 lr=0.00000953 steps_per_sec=0.92
step=120/207 loss=1.3416 lr=0.00000797 steps_per_sec=0.97
step=130/207 loss=1.0446 lr=0.00000647 steps_per_sec=1.01
step=140/207 loss=0.8061 lr=0.00000505 steps_per_sec=1.05
step=150/207 loss=1.1340 lr=0.00000375 steps_per_sec=0.90
step=160/207 loss=0.6868 lr=0.00000260 steps_per_sec=0.93
step=170/207 loss=0.9631 lr=0.00000164 steps_per_sec=0.97
step=180/207 loss=0.9079 lr=0.00000089 steps_per_sec=1.00
step=190/207 loss=0.9248 lr=0.00000035 steps_per_sec=1.03
step=200/207 loss=0.2877 lr=0.00000006 steps_per_sec=0.93
train_runtime_sec=216.79
train_steps_per_sec=0.95
