Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
[transformers] `torch_dtype` is deprecated! Use `dtype` instead!
Loading weights:   0%|          | 0/399 [00:00<?, ?it/s]Loading weights: 100%|██████████| 399/399 [00:00<00:00, 14002.65it/s]
step=10/207 loss=1.1047 lr=0.00001999 steps_per_sec=1.92
step=20/207 loss=1.0079 lr=0.00001979 steps_per_sec=2.05
step=30/207 loss=0.9260 lr=0.00001935 steps_per_sec=2.05
step=40/207 loss=0.8976 lr=0.00001869 steps_per_sec=2.09
step=50/207 loss=0.7887 lr=0.00001780 steps_per_sec=0.60
step=60/207 loss=1.2094 lr=0.00001673 steps_per_sec=0.69
step=70/207 loss=0.9836 lr=0.00001549 steps_per_sec=0.77
step=80/207 loss=1.3509 lr=0.00001412 steps_per_sec=0.84
step=90/207 loss=0.9622 lr=0.00001264 steps_per_sec=0.90
step=100/207 loss=0.9117 lr=0.00001110 steps_per_sec=0.61
step=110/207 loss=1.2980 lr=0.00000953 steps_per_sec=0.66
step=120/207 loss=1.3392 lr=0.00000797 steps_per_sec=0.70
step=130/207 loss=1.0431 lr=0.00000647 steps_per_sec=0.74
step=140/207 loss=0.8067 lr=0.00000505 steps_per_sec=0.78
step=150/207 loss=1.1321 lr=0.00000375 steps_per_sec=0.62
step=160/207 loss=0.6877 lr=0.00000260 steps_per_sec=0.65
step=170/207 loss=0.9603 lr=0.00000164 steps_per_sec=0.68
step=180/207 loss=0.9088 lr=0.00000089 steps_per_sec=0.71
step=190/207 loss=0.9260 lr=0.00000035 steps_per_sec=0.74
step=200/207 loss=0.2895 lr=0.00000006 steps_per_sec=0.61
train_runtime_sec=331.68
train_steps_per_sec=0.62
