Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
[transformers] `torch_dtype` is deprecated! Use `dtype` instead!
Loading weights:   0%|          | 0/399 [00:00<?, ?it/s]Loading weights: 100%|██████████| 399/399 [00:00<00:00, 14133.33it/s]
step=10/207 loss=1.1053 lr=0.00001999 steps_per_sec=2.06
step=20/207 loss=1.0117 lr=0.00001979 steps_per_sec=2.13
step=30/207 loss=0.9272 lr=0.00001935 steps_per_sec=2.21
step=40/207 loss=0.8968 lr=0.00001869 steps_per_sec=2.20
step=50/207 loss=0.7888 lr=0.00001780 steps_per_sec=1.33
step=60/207 loss=1.2089 lr=0.00001673 steps_per_sec=1.08
step=70/207 loss=0.9865 lr=0.00001549 steps_per_sec=1.14
step=80/207 loss=1.3466 lr=0.00001412 steps_per_sec=1.19
step=90/207 loss=0.9615 lr=0.00001264 steps_per_sec=1.25
step=100/207 loss=0.9134 lr=0.00001110 steps_per_sec=1.31
step=110/207 loss=1.3017 lr=0.00000953 steps_per_sec=1.23
step=120/207 loss=1.3416 lr=0.00000797 steps_per_sec=1.23
step=130/207 loss=1.0420 lr=0.00000647 steps_per_sec=1.26
step=140/207 loss=0.8073 lr=0.00000505 steps_per_sec=1.28
step=150/207 loss=1.1317 lr=0.00000375 steps_per_sec=1.31
step=160/207 loss=0.6888 lr=0.00000260 steps_per_sec=1.30
step=170/207 loss=0.9610 lr=0.00000164 steps_per_sec=1.31
step=180/207 loss=0.9091 lr=0.00000089 steps_per_sec=1.31
step=190/207 loss=0.9250 lr=0.00000035 steps_per_sec=1.30
step=200/207 loss=0.2895 lr=0.00000006 steps_per_sec=1.33
train_runtime_sec=155.38
train_steps_per_sec=1.33
