Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
[transformers] `torch_dtype` is deprecated! Use `dtype` instead!
Loading weights:   0%|          | 0/399 [00:00<?, ?it/s]Loading weights: 100%|██████████| 399/399 [00:00<00:00, 14464.49it/s]
step=10/207 loss=1.1063 lr=0.00001999 steps_per_sec=2.07
step=20/207 loss=1.0107 lr=0.00001979 steps_per_sec=2.19
step=30/207 loss=0.9277 lr=0.00001935 steps_per_sec=2.21
step=40/207 loss=0.8970 lr=0.00001869 steps_per_sec=2.24
step=50/207 loss=0.7890 lr=0.00001780 steps_per_sec=0.99
step=60/207 loss=1.2083 lr=0.00001673 steps_per_sec=1.11
step=70/207 loss=0.9847 lr=0.00001549 steps_per_sec=1.20
step=80/207 loss=1.3508 lr=0.00001412 steps_per_sec=1.28
step=90/207 loss=0.9626 lr=0.00001264 steps_per_sec=1.35
step=100/207 loss=0.9121 lr=0.00001110 steps_per_sec=0.79
step=110/207 loss=1.2991 lr=0.00000953 steps_per_sec=0.84
step=120/207 loss=1.3418 lr=0.00000797 steps_per_sec=0.89
step=130/207 loss=1.0444 lr=0.00000647 steps_per_sec=0.94
step=140/207 loss=0.8050 lr=0.00000505 steps_per_sec=0.98
step=150/207 loss=1.1334 lr=0.00000375 steps_per_sec=0.75
step=160/207 loss=0.6885 lr=0.00000260 steps_per_sec=0.79
step=170/207 loss=0.9606 lr=0.00000164 steps_per_sec=0.82
step=180/207 loss=0.9121 lr=0.00000089 steps_per_sec=0.85
step=190/207 loss=0.9251 lr=0.00000035 steps_per_sec=0.88
step=200/207 loss=0.2881 lr=0.00000006 steps_per_sec=0.74
train_runtime_sec=274.14
train_steps_per_sec=0.76
