Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
[transformers] `torch_dtype` is deprecated! Use `dtype` instead!
Loading weights:   0%|          | 0/399 [00:00<?, ?it/s]Loading weights: 100%|██████████| 399/399 [00:00<00:00, 13756.11it/s]
step=10/207 loss=1.1056 lr=0.00001999 steps_per_sec=1.97
step=20/207 loss=1.0116 lr=0.00001979 steps_per_sec=2.10
step=30/207 loss=0.9286 lr=0.00001935 steps_per_sec=2.18
step=40/207 loss=0.8980 lr=0.00001869 steps_per_sec=2.20
step=50/207 loss=0.7912 lr=0.00001780 steps_per_sec=1.11
step=60/207 loss=1.2087 lr=0.00001673 steps_per_sec=1.21
step=70/207 loss=0.9836 lr=0.00001549 steps_per_sec=1.30
step=80/207 loss=1.3473 lr=0.00001412 steps_per_sec=1.35
step=90/207 loss=0.9616 lr=0.00001264 steps_per_sec=1.39
step=100/207 loss=0.9107 lr=0.00001110 steps_per_sec=0.97
step=110/207 loss=1.2997 lr=0.00000953 steps_per_sec=1.03
step=120/207 loss=1.3386 lr=0.00000797 steps_per_sec=1.08
step=130/207 loss=1.0420 lr=0.00000647 steps_per_sec=1.12
step=140/207 loss=0.8059 lr=0.00000505 steps_per_sec=1.16
step=150/207 loss=1.1322 lr=0.00000375 steps_per_sec=0.99
step=160/207 loss=0.6877 lr=0.00000260 steps_per_sec=1.03
step=170/207 loss=0.9618 lr=0.00000164 steps_per_sec=1.07
step=180/207 loss=0.9104 lr=0.00000089 steps_per_sec=1.10
step=190/207 loss=0.9253 lr=0.00000035 steps_per_sec=1.13
step=200/207 loss=0.2886 lr=0.00000006 steps_per_sec=1.01
train_runtime_sec=200.34
train_steps_per_sec=1.03
