Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
[transformers] `torch_dtype` is deprecated! Use `dtype` instead!
Loading weights:   0%|          | 0/399 [00:00<?, ?it/s]Loading weights: 100%|██████████| 399/399 [00:00<00:00, 13310.59it/s]
step=10/207 loss=1.1051 lr=0.00001999 steps_per_sec=2.09
step=20/207 loss=1.0129 lr=0.00001979 steps_per_sec=2.10
step=30/207 loss=0.9273 lr=0.00001935 steps_per_sec=2.18
step=40/207 loss=0.8972 lr=0.00001869 steps_per_sec=2.19
step=50/207 loss=0.7900 lr=0.00001780 steps_per_sec=0.60
step=60/207 loss=1.2074 lr=0.00001673 steps_per_sec=0.69
step=70/207 loss=0.9836 lr=0.00001549 steps_per_sec=0.77
step=80/207 loss=1.3472 lr=0.00001412 steps_per_sec=0.84
step=90/207 loss=0.9613 lr=0.00001264 steps_per_sec=0.91
step=100/207 loss=0.9129 lr=0.00001110 steps_per_sec=0.61
step=110/207 loss=1.3012 lr=0.00000953 steps_per_sec=0.65
step=120/207 loss=1.3411 lr=0.00000797 steps_per_sec=0.70
step=130/207 loss=1.0428 lr=0.00000647 steps_per_sec=0.74
step=140/207 loss=0.8049 lr=0.00000505 steps_per_sec=0.77
step=150/207 loss=1.1345 lr=0.00000375 steps_per_sec=0.62
step=160/207 loss=0.6881 lr=0.00000260 steps_per_sec=0.65
step=170/207 loss=0.9613 lr=0.00000164 steps_per_sec=0.68
step=180/207 loss=0.9094 lr=0.00000089 steps_per_sec=0.71
step=190/207 loss=0.9257 lr=0.00000035 steps_per_sec=0.74
step=200/207 loss=0.2883 lr=0.00000006 steps_per_sec=0.63
train_runtime_sec=320.14
train_steps_per_sec=0.65
