[transformers] `torch_dtype` is deprecated! Use `dtype` instead!
Loading weights:   0%|          | 0/399 [00:00<?, ?it/s]Loading weights: 100%|██████████| 399/399 [00:00<00:00, 14676.72it/s]
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
step=10/207 loss=1.1057 lr=0.00001999 steps_per_sec=2.12
step=20/207 loss=1.0156 lr=0.00001979 steps_per_sec=2.17
step=30/207 loss=0.9275 lr=0.00001935 steps_per_sec=2.20
step=40/207 loss=0.8983 lr=0.00001869 steps_per_sec=2.21
step=50/207 loss=0.7891 lr=0.00001780 steps_per_sec=1.86
step=60/207 loss=1.2106 lr=0.00001673 steps_per_sec=1.09
step=70/207 loss=0.9858 lr=0.00001549 steps_per_sec=1.18
step=80/207 loss=1.3477 lr=0.00001412 steps_per_sec=1.26
step=90/207 loss=0.9602 lr=0.00001264 steps_per_sec=1.33
step=100/207 loss=0.9115 lr=0.00001110 steps_per_sec=1.38
step=110/207 loss=1.3048 lr=0.00000953 steps_per_sec=1.11
step=120/207 loss=1.3396 lr=0.00000797 steps_per_sec=1.12
step=130/207 loss=1.0425 lr=0.00000647 steps_per_sec=1.17
step=140/207 loss=0.8058 lr=0.00000505 steps_per_sec=1.19
step=150/207 loss=1.1336 lr=0.00000375 steps_per_sec=1.23
step=160/207 loss=0.6884 lr=0.00000260 steps_per_sec=1.16
step=170/207 loss=0.9619 lr=0.00000164 steps_per_sec=1.16
step=180/207 loss=0.9112 lr=0.00000089 steps_per_sec=1.20
step=190/207 loss=0.9255 lr=0.00000035 steps_per_sec=1.23
step=200/207 loss=0.2886 lr=0.00000006 steps_per_sec=1.26
train_runtime_sec=179.41
train_steps_per_sec=1.15
