Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
[transformers] `torch_dtype` is deprecated! Use `dtype` instead!
Loading weights:   0%|          | 0/399 [00:00<?, ?it/s]Loading weights: 100%|██████████| 399/399 [00:00<00:00, 13931.43it/s]
step=10/207 loss=1.1041 lr=0.00001999 steps_per_sec=2.05
step=20/207 loss=1.0099 lr=0.00001979 steps_per_sec=2.16
step=30/207 loss=0.9260 lr=0.00001935 steps_per_sec=2.20
step=40/207 loss=0.8979 lr=0.00001869 steps_per_sec=2.21
step=50/207 loss=0.7881 lr=0.00001780 steps_per_sec=1.87
step=60/207 loss=1.2085 lr=0.00001673 steps_per_sec=1.17
step=70/207 loss=0.9855 lr=0.00001549 steps_per_sec=1.27
step=80/207 loss=1.3443 lr=0.00001412 steps_per_sec=1.35
step=90/207 loss=0.9616 lr=0.00001264 steps_per_sec=1.41
step=100/207 loss=0.9122 lr=0.00001110 steps_per_sec=1.47
step=110/207 loss=1.3028 lr=0.00000953 steps_per_sec=1.16
step=120/207 loss=1.3393 lr=0.00000797 steps_per_sec=1.20
step=130/207 loss=1.0435 lr=0.00000647 steps_per_sec=1.25
step=140/207 loss=0.8088 lr=0.00000505 steps_per_sec=1.26
step=150/207 loss=1.1319 lr=0.00000375 steps_per_sec=1.30
step=160/207 loss=0.6885 lr=0.00000260 steps_per_sec=1.19
step=170/207 loss=0.9614 lr=0.00000164 steps_per_sec=1.21
step=180/207 loss=0.9135 lr=0.00000089 steps_per_sec=1.24
step=190/207 loss=0.9252 lr=0.00000035 steps_per_sec=1.28
step=200/207 loss=0.2890 lr=0.00000006 steps_per_sec=1.31
train_runtime_sec=173.97
train_steps_per_sec=1.19
